period,tindex,beta,se,ci_lower,ci_upper,tstat,pval,N
average,-,-0.22698869173130326,0.09406889491004852,-0.4175903776035209,-0.03638700585908561,-2.4130047657980525,0.020891893314126598,39
1989,20,-0.04226834690674176,0.059291624387141646,-0.1624045893607211,0.07786789554723757,-0.7128890015013376,0.48038657445763455,39
1990,21,-0.04896454181902264,0.08176214862233573,-0.21463039111866516,0.1167013074806199,-0.598865644360605,0.5529116544415325,39
1991,22,-0.15136123673130333,0.0733419665411167,-0.2999661765606471,-0.002756296901959554,-2.063773905577617,0.04610549808444786,39
1992,23,-0.14642698427516307,0.08738475484286805,-0.32348531592142876,0.030631347371102624,-1.6756582373946407,0.1022372479615914,39
1993,24,-0.1904649791874431,0.09105426805221696,-0.3749584508414773,-0.005971507533408887,-2.0917743150515142,0.04337922855971623,39
1994,25,-0.25083408199446106,0.09598997069699043,-0.44532823714708814,-0.056339926841833976,-2.613128019241342,0.012894002945607377,39
1995,26,-0.2820390479593733,0.11213334738904966,-0.5092427912932905,-0.05483530462545602,-2.515211170686194,0.016368992260734527,39
1996,27,-0.2834303191874441,0.12332976937458208,-0.5333201683613406,-0.033540470013547624,-2.2981500786448263,0.027304537553532175,39
1997,28,-0.2866992746260399,0.13529387626498843,-0.5608307070081524,-0.01256784224392743,-2.1190853757823214,0.04085766690818539,39
1998,29,-0.29158540901200525,0.14381988264028714,-0.5829921712514861,-0.00017864677252443784,-2.0274346193238078,0.049866825872669725,39
1999,30,-0.34691332760849597,0.1570596292850852,-0.6651463647120817,-0.028680290504910333,-2.208800117430557,0.033461351687976405,39
2000,31,-0.4028767514681461,0.15245285559864072,-0.7117755784493771,-0.09397792448691517,-2.642631716448729,0.0119885200804901,39
